,titulo,data,empresa,localizacao,descricao
63,Desenvolvedor Java - Pleno,15/05/2020,Stefanini IT Solutions,"Hortolândia, State of São Paulo, Brazil","
         Experiência com desenvolvimento Java 
  
 Conhecimentos:  Spring Boot - Arquitetura de Microserviços - Esteiras de CI e CD (Jenkins e Puppet) 
 - ESB Apache Camel  - Maven  - Git 
 - SQL e Banco de dados em geral 
 - RESTful API Modeling Language (RAML) 
    "
64,Desenvolvedor Java - Júnior,15/05/2020,Stefanini IT Solutions,"Hortolândia, State of São Paulo, Brazil","
         Experiência com desenvolvimento Java, preferencialmente versão 1.8  - Spring Boot 2.0 - Arquitetura de Microserviços - Esteiras de CI e CD (Jenkins e Puppet) - ESB Apache Camel  - Maven - Git - SQL e Banco de dados em geral - RESTful API Modeling Language (RAML) 
    "
65,Desenvolvedor Node.Js - Pleno,15/05/2020,Stefanini IT Solutions,"Vila Mariana, São Paulo - State of São Paulo, Brazil","
          Desenvolvedor Node.js - Conhecimentos com React, Vue ou Angular - Conhecimentos com banco de dados SQL - Experiências com desenvolvimento em PHP com ZendFramework 
 Mandatório: Inglês Avançado (interação diária com time global) 
 Local: Vila Mariana, São Paulo 
    "
66,Desenvolvedor Python - Jr,15/05/2020,Stefanini IT Solutions,"Vila Mariana, São Paulo - State of São Paulo, Brazil","
         Requisitos: 
 - Python - Vue.Js ou React ou Angular 2+ 
 Banco de dados: - SQL ou NoSQL 
 Mandatório: Inglês Avançado (interação diária com time global) 
 Local: Vila Mariana, São Paulo 
    "
67,UX/UI Designer SR.,14/05/2020,Triggolabs,"Remoto (São Paulo, State of São Paulo, Brazil)","
          Descrição da Vaga e Responsabilidades:  
 Experiência UX/UI (perfil híbrido), maior foco em UI, secundário UX, Research. 
  Requisitos obrigatórios : 
 Criação de design de interfaces digitais, com experiencia em aplicativos; 
 Experiência com projetos responsivos / mobile; 
 Conhecimento avançado em Prototipação de média a alta fidelidade (Figma, Adobe XD , Protopie ou similar); 
 Design da experiência do usuário ;  
    "
68,Analista de Banco de Dados Sênior - Oracle/SQL,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg à Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:      Administração e suporte a sistemas gerenciadores de banco de dados MS SQL Server 2008 ou superior ou Oracle 11g ou superior;   Administração de bases com grandes volumes de dados (maiores que 08 TB);   Administração e suporte a sistemas de alta disponibilidade para banco de dados;   Administração e suporte de banco de dados em ambientes virtualizados;   Backup e restore , importação e exportação de base de dados;   Performance e tuning de banco; g) Gerência de logs e alertas de banco utilizando protocolo SNMP;   Administração de banco de dados distribuídos com replicação de dados;    Administração de ambientes de Data Warehouse e Business Intelligence ;   Administração e suporte a appliance de banco de dados;   Administração e suporte a ferramentas de carga, extração e transformação de dados;    Administração e suporte a sistemas operacionais Windows Server, Linux ou Unix;...
    "
69,Coordenador de Sistemas,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg à Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:      Conhecimento na área de Gestão de Serviços de TI;   Administração em engenharia de software;   Administração em linguagens de programação tais como: Angular JS, .Net CORE, C#, MS.NET, Java, HTML5;   Administração em definição de padrões de projeto de software e desenvolvimento;   Administração em frameworks de desenvolvimento;   Administração em integração e/ou interação entre aplicações utilizando webservices ou webapi;    Administração em desenvolvimento de serviços utilizando os conceitos e as melhores práticas da arquitetura orientada a serviços (SOA);   Administração em gerência de configuração;   Administração em integração contínua;   Administração em ferramentas de gerenciamento de ciclo de vida de aplicativos (ALM);    Administração em elaboração de especificação técnica para aquisição de softwares de arquitetura e desenvolvimento de sistemas;   Administração em...
    "
70,Analista de Segurança Sênior - Redes,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg à Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:      Instalação, configuração e suporte a redes LAN e WAN, com pelo menos 400 (quatrocentos) pontos, baseadas em Windows Server ou Linux, utilizando protocolos TCP/IP e MPLS;    Implementação de projetos lógicos de rede;    Administração e implementação de segmentação de rede;    Instalação, configuração e suporte a redes Wireless;    Configuração e suporte a equipamentos de rede (switches, roteadores, modems);    Administração e suporte a balanceadores de carga;    Administração e suporte a ativos de segurança de rede tais como firewall, IPS e IDS;    Administração e suporte a softwares de segurança da informação tais como antivírus, antispam
e filtro de conteúdo;    Administração e suporte a VPN ( Virtual Private Network );    Detecção de vulnerabilidades na rede e em sistemas, servidores e aplicações;    Definição de rotinas e procedimentos para prevenção a ataques;...
    "
71,Supervisor de Operações Sênior,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg a Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Supervisão/Coordenação    Descrição:      Conhecimento na Gestão de Serviços de TI;    Administração e suporte a sistemas operacionais Windows Server, Linux ou Unix;   Administração e suporte a storages de médio ou grande porte;    Administração e suporte a ferramenta de gestão de ambiente;   Administração e suporte de serviços de mensageria e produtividade na nuvem;    Administração e suporte de ambientes virtualizados;     Administração e suporte a redes LAN e WAN, com pelo menos 400 (quatrocentos) pontos, baseadas em Windows Server ou Linux, utilizando protocolos TCP/IP e MPLS;    Administração e suporte a ativos rede tais como balanceadores de carga, switches core, trânsito e de borda, controladoras e pontos de acesso (AP) de rede wireless;    Administração e suporte a ativos de segurança de rede tais como firewall, IPS e IDS;      Administração e suporte a ativos de segurança da informação tais como...
    "
72,Analista de Suporte a Sistemas Sênior,14/05/2020,EMPREGARE.com,"Salvador - State of Bahia, Brazil","
          Horário: De Seg à Sex das 9 às 18hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:       Atendimento a desenvolvedores na solução de problemas de relacionados à arquitetura de sistemas, inclusive na documentação do problema ocorrido e da solução adotada;    Inspeção de código de softwares, componentes e serviços;      Publicação de versões de sistemas nos ambientes de desenvolvimento, testes, homologação e produção;     Proposição e avaliação de arquiteturas para soluções de software;    Proposição de modelos, avaliação e confecção de documentação de arquitetura de software; Definição e garantia da aplicação de boas práticas de programação e de padrões de projeto de software;   Execução de varredura de segurança em software;   Execução de varredura de qualidade em software;   Proposição e avaliação de ferramentas, tecnologias e plataformas para desenvolvimento, teste e distribuição de soluções de software;   Proposição de estratégias para atualização...
    "
